# Sense-specific CEFR judgements on individual cards.
#
# The deck's A1-C2 labels came from bulk import, not from reading each card, and
# the bulk was wrong in both directions. This file is the record of what has been
# decided about every card -- including the ones left alone, because "reviewed and
# correct" and "never reviewed" are different states and only one of them is
# worth revisiting.
#
# It is authoritative. tool/apply_relevelling.py writes these levels into
# lib/vocabulary*.dart, and tool/check_relevelling.py fails the build if the
# source and this file disagree, so a later bulk edit cannot quietly undo a
# judgement recorded here.
#
# The `basis` column says how a row was decided and must not be blurred:
#
#   hand    a person read the card. These win over anything derived.
#   corpus  derived by tool/cefr_evidence.py from the level of the bundled
#           material that uses the word. It reproduces 22 of the 23 hand
#           judgements, which is why it is trusted enough to record; it is
#           still marked derived, because agreeing with a human is not the
#           same as being one.
#
# A row whose `to` equals its `from` is a deliberate keep, not a no-op.
#
# id<TAB>german<TAB>from<TAB>to<TAB>basis<TAB>why
x10131	ankommen	A2	A2	corpus	material agrees, first used in B1
x10132	abfahren	A2	A2	corpus	no bundled material uses this word
x10133	umsteigen	A2	A2	corpus	material agrees, first used in A2
x10134	verpassen	A2	A2	corpus	no bundled material uses this word
x10135	reisen	A2	A2	corpus	material agrees, first used in A2
x10136	fliegen	A2	A2	corpus	no bundled material uses this word
x10137	mieten	A2	A2	corpus	no bundled material uses this word
x10138	umziehen	A2	A2	corpus	no bundled material uses this word
x10139	reparieren	A2	A2	corpus	material agrees, first used in A2
x10140	putzen	A2	A2	corpus	no bundled material uses this word
x10141	waschen	A2	A2	corpus	material agrees, first used in A2
x10142	einkaufen	A2	A1	corpus	used 5 times in A1 material
x10143	verkaufen	A2	A2	corpus	material agrees, first used in C1
x10144	umtauschen	A2	A2	corpus	no bundled material uses this word
x10145	passen	A2	A2	corpus	material agrees, first used in B1
x10146	sparen	A2	A2	corpus	material agrees, first used in B2
x10147	verdienen	A2	A2	corpus	material agrees, first used in C1
x10148	zahlen	A2	A1	corpus	used 7 times in A1 material
x10149	überweisen	A2	A2	corpus	material agrees, first used in A2
x10150	anrufen	A2	A1	corpus	used 2 times in A1 material
x10151	telefonieren	A2	A2	corpus	no bundled material uses this word
x10152	warten	A2	A2	corpus	material agrees, first used in A2
x10153	suchen	A2	A1	corpus	used 2 times in A1 material
x10154	finden	A2	A1	corpus	used 5 times in A1 material
x10155	verlieren	A2	A2	corpus	material agrees, first used in C1
x10156	gewinnen	A2	A2	corpus	material agrees, first used in B2
x10157	üben	A2	A2	corpus	material agrees, first used in A2
x10158	studieren	A2	A2	corpus	no bundled material uses this word
x10159	prüfen	A2	A2	corpus	material agrees, first used in B1
x10160	bestehen	A2	A2	corpus	material agrees, first used in A2
x10161	arbeiten an	A2	A2	corpus	no bundled material uses this word
x10162	sich bewerben	A2	A2	corpus	no bundled material uses this word
